ClubOfficialId,Sport code,Aanduiding code,Aanduiding,Competitiesoort,Klasse code,Klasse,Poule code,Poule,Intern wedstrijdnummer,Wedstrijdnummer,Elftal,Elftalcode,Sorteervolgorde,Thuis teamcode,Thuis team,Gesl thuis team,Thuis organisatiecode,Uit teamcode,Uit organisatiecode,Uit team,Gesl uit team,Wedstrijd,Thuisscore,Uitscore,Wedstrijddatum,Wedstrijddatum (niet geformatteerd),Aanvangstijd,Accommodatie code,Accommodatie naam,Straat,Huisnummer,Toevoeging,Postcode,Plaats,Telefoon,Veld,Veldtype,Veld/Zaal,Info,Arbitrage opmerkingen,Tuchtstatus,Bijzonderheden,Code buiten mededinging,Buiten mededinging,District,ClubOfficialId,Wedstrijdstatus,ClubOfficialId,Internetstatus,Sport omschrijving,Wedstrijddetails Code,DWF wedstrijd?,Verenigingsofficials,Bondsofficials,Scheidsrechter(s),ClubOfficialId,ClubOfficialId,Scheidsrechtercode,Scheidsrechter,Overige officialcode,Overige official,Scheidsrechter,Kleedkamer thuis,Kleedkamer uit,Kleedkamer official,Vertrektijd,Rijder(s),Soort wedstrijd,Thuiswedstrijd?,Kleding uitgereikt,Op terrein tegenstander?,Bondswedstrijd?,Bond/Club,Info
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381104","16","8828245","23273","Zwaluwen Utrecht 11 16","237363","16","237363","Zwaluwen Utrecht 11 16","man","BBCC67I","223547","BBBZ54I","DESTO 13","man","Zwaluwen Utrecht 11 16 - DESTO 13","","","10/04/2015","2015-04-10","21:05","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 2 (boven)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381088","17","8828267","23295","Zwaluwen Utrecht 11 17","237366","17","237366","Zwaluwen Utrecht 11 17","man","BBCC67I","104842","BBBZ68P","Kampong 6","man","Zwaluwen Utrecht 11 17 - Kampong 6","","","10/04/2015","2015-04-10","22:00","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 2 (boven)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381104","16","8828256","23284","Zwaluwen Utrecht 11 18","237364","18","237364","Zwaluwen Utrecht 11 18","man","BBCC67I","236186","BBCC81I","Voorwaarts 9","man","Zwaluwen Utrecht 11 18 - Voorwaarts 9","","","10/04/2015","2015-04-10","21:05","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 1 (beneden)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381088","17","8818605","13633","Zwaluwen Utrecht 11 19","242413","19","105237","PVC 4","man","BBCB10Z","242413","BBCC67I","Zwaluwen Utrecht 11 19","man","PVC 4 - Zwaluwen Utrecht 11 19","","","09/04/2015","2015-04-09","21:55","BBCG663","Lunetten","Zwarte Woud","201","","3524SG","UTRECHT","","Lunetten veld 1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","H. Wolf (Scheidsrechter)","H. Wolf (Scheidsrechter)","","","NMBN56X","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381105","18","8935571","52666","Zwaluwen Utrecht 11 20","242985","20","100785","Hercules 30","man","BBBZ41C","242985","BBCC67I","Zwaluwen Utrecht 11 20","man","Hercules 30 - Zwaluwen Utrecht 11 20","","","10/04/2015","2015-04-10","20:10","BBCG46V","Hercules","Voorveldselaan","2","","3573PV","UTRECHT","","Hercules veld 1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381105","18","8829129","24157","Zwaluwen Utrecht 11 21","246882","21","246882","Zwaluwen Utrecht 11 21","man","BBCC67I","107935","BBCC96Q","Delta Sports 10","man","Zwaluwen Utrecht 11 21 - Delta Sports 10","","","10/04/2015","2015-04-10","22:00","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 1 (beneden)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381104","16","8818070","13098","Zwaluwen Utrecht 11 22","247868","22","101298","Ons Genoegen 1","man","BBCC00X","247868","BBCC67I","Zwaluwen Utrecht 11 22","man","Ons Genoegen 1 - Zwaluwen Utrecht 11 22","","","08/04/2015","2015-04-08","22:00","MDRH15O","Weide Wereld","Teunisbloemlaan","48","","3452CB","VLEUTEN","","Weide Wereld veld 1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","C. Jansen (Scheidsrechter)","C. Jansen (Scheidsrechter)","","","GJBT95I","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1293","1293 Veteranen Zaal (voorjaar)","DEFAULT_COMPETITION","11","1e klasse","407374","G","9397199","154733","Zwaluwen Utrecht 11 VE1","225666","301","225666","Zwaluwen Utrecht 11 VE1","man","BBCC67I","103834","BBCC66H","Hertha VE1","man","Zwaluwen Utrecht 11 VE1 - Hertha VE1","","","10/04/2015","2015-04-10","20:10","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 2 (boven)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-VE-ZA","0237","0237 B-Junioren (voorjaar)","DEFAULT_COMPETITION","12","2e klasse","407741","08 (Promotie Poule)","9424437","168977","Zwaluwen Utrecht 11 B1","109045","801","101073","Maarssen B2","man","BBCC45A","109045","BBCC67I","Zwaluwen Utrecht 11 B1","man","Maarssen B2 - Zwaluwen Utrecht 11 B1","","","11/04/2015","2015-04-11","14:30","LWSM63R","Sportpark "Daalseweide"","Sportparkweg","1","","3604AW","MAARSSEN","030-2432571","veld 5 Maarssen","Gras","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_SCHEDULED","Veld ZA","","true","","V. Bleeker (Scheidsrechter)","V. Bleeker (Scheidsrechter)","","","LYHQ55P","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-VE-ZA","0237","0237 B-Junioren (voorjaar)","DEFAULT_COMPETITION","13","3e klasse","407792","32","9433732","178270","Zwaluwen Utrecht 11 B2","191641","802","216760","Kampong B6","man","BBBZ68P","191641","BBCC67I","Zwaluwen Utrecht 11 B2","man","Kampong B6 - Zwaluwen Utrecht 11 B2","","","11/04/2015","2015-04-11","14:30","BBCQ55F","Sportpark "Maarschalkerweerd"-K'pong","Ln van Maarschalkerweerd","1","","3585LJ","UTRECHT","","veld 4","Gras","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_SCHEDULED","Veld ZA","","true","","","","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
